timestamp	label	agent	model	effort	seconds	input_tokens	output_tokens	total_tokens	exit_code
2026-06-11T09:29:03Z	harness-smoke	codex	default	default	0	0	0	0	1
2026-06-11T09:32:55Z	harness-smoke	codex	default	default	3	13099	5	13104	0
2026-06-11T09:36:17Z	harness-smoke-cursor	cursor	composer-2.5	default	13	NA	NA	NA	0
2026-06-11T09:37:35Z	verify-smoke	codex	default	default	5	16737	20	16757	0
2026-06-11T09:37:44Z	verify-smoke-cursor	cursor	composer-2.5	default	19	NA	NA	NA	0
2026-06-11T09:40:11Z	phase03-scaffold	codex	default	default	262	786395	14280	800675	0
2026-06-11T09:45:06Z	phase03-verify	cursor	composer-2.5	default	70	NA	NA	NA	0
2026-06-11T09:47:24Z	phase04a-ci	cursor	composer-2.5	default	74	NA	NA	NA	0
2026-06-11T09:49:57Z	phase04c-clock	cursor	composer-2.5	default	141	NA	NA	NA	0
2026-06-11T09:47:15Z	phase04b-config	codex	default	default	348	599153	24546	623699	0
2026-06-11T09:53:51Z	phase04b-addendum	cursor	composer-2.5	default	145	NA	NA	NA	0
2026-06-11T09:53:46Z	phase04c-prng	codex	default	default	194	392254	11887	404141	0
2026-06-11T09:57:21Z	phase04-verify	cursor	composer-2.5	default	121	NA	NA	NA	0
2026-06-11T10:00:22Z	phase05-schemas	codex	default	default	782	4199752	49526	4249278	0
2026-06-11T10:14:08Z	phase05-addendum	codex	default	default	212	1193953	13091	1207044	0
2026-06-11T10:17:57Z	phase05-verify	cursor	composer-2.5	default	140	NA	NA	NA	0
2026-06-11T10:21:44Z	phase06-state	codex	default	default	527	2448895	33398	2482293	0
2026-06-11T10:30:59Z	phase06-verify	cursor	composer-2.5	default	107	NA	NA	NA	0
